text,label,,Person 1,Person 2,tally ,
ഇങ്ങനെ വീഡിയോകള്‍ ചെയ്യുന്നത് സമയം പാഴാക്കുക മാത്രമാണ്.,negative,,0,0,0,
കാലാവസ്ഥ വിശകലനം,neutral,,1,1,1,
വിവരങ്ങളുടെ അവഗണന അഭിമുഖ്യമായി,negative,,0,0,0,
""" മാർഗ നിർദേശം നൽകി """,positive,,2,2,2,
കേസുകൾ നിയമനച്ചാലിൽ പരിശോധിക്കുന്നു.,neutral,,1,1,1,
പുതിയ വിഭവങ്ങൾ പരീക്ഷിക്കാൻ ഉത്സാഹം.,positive,,2,2,2,postive = 2
"""വരുമാനം വരുന്ന സമയം നീണ്ടതായിരിക്കും.""",neutral,,1,0,1,neutral= 1
വ്യായാമം ജീവിതത്തിന്റെ ഭാഗമാക്കാം.,neutral,,1,2,1,negative= 0
ഭാവന പരിമിതമാണ്.,neutral,,1,0,1,
വാർത്തകൾ സമീപകാലത്ത് അസവിശേഷമായത്,negative,,0,1,0,
പാചകത്തിനുള്ള സന്ദേശം മനസ്സിലായി.,positive,,2,2,2,
കാലാവസ്ഥാ പുതുമകൾ വിലയിരുത്തുന്നു.,neutral,,1,1,1,
വ്യായാമം തുടർന്ന് ആരോഗ്യ മെച്ചപ്പെട്ടു.,positive,,2,2,2,
സമഗ്രമായ അറിവ് നൽകുന്നു.,neutral,,1,2,1,
മതിയായ വിവരങ്ങൾ.,positive,,2,2,2,
പാചകത്തിന് നല്ല മാർഗ്ഗ നിർദേശം.,positive,,2,2,2,
പാട്ടിന്റെ അവതരണം ഹൃദയസ്പർശിയായിരിക്കുന്നു.,neutral,,1,2,1,
"നല്ല ബിസിനസ് ഐഡിയകള്‍. മലയാളികൾക്ക് ഉപകാരപ്പെടും.""",positive,,2,2,2,
മഴ തുടരുന്ന സമയം അറിയിച്ചിരിക്കുന്നു.,positve ,,2,2,2,
പൊഴിയുന്ന മഴ ഞങ്ങള്ക്ക് ഉപകാരപ്രദം.,neutral,,1,1,1,
പാട്ടിനു മറ്റൊരു അർത്ഥം നൽകാൻ സഹായക.,positive,,2,2,2,
സാമൂഹിക ജീവിതത്തിലും ഫലപ്രദമാണ്.,negative,,0,2,0,
പാട്ടിന്റെ അർത്ഥം കുറവാണെന്ന് തോന്നി.,neutral,,1,0,1,
കാലാവസ്ഥയെ സംബന്ധിച്ച വിവരശേഖരണം.,neutral,,1,1,1,
ആരോഗ്യവുമായി ബന്ധപ്പെട്ട കുറിപ്പുകൾ.,negative,,0,1,0,
പുതിയ പ്രവർത്തനങ്ങൾ.,positive,,2,1,2,
വ്യായാമ സമയത്തിനു വേണ്ട വിവരങ്ങൾ.,neutral,,1,1,1,
പാചക പാഠപുസ്തകം പോലെയാണ്.,neutral,,1,2,1,
"ഫാൻ ശ്രേണികൾ ആശ്വാസം നല്‍കുന്നു.,",positive,,2,2,2,
എടിറ്റ് ചെയ്ത വീഡിയോസ് വർക്ക് ഔട്ട് ചെയ്യാൻ സഹായിക്കുന്നു.,positive,,2,2,2,
ആശയങ്ങൾ സാമൂഹിക സാഹചര്യത്തിൽ മാറുന്നു.,neutral,,1,1,1,
"മുന്നറിയിപ്പ് വൈകി, ഓർമ്മവിലക്കാണ്.",negative,,0,0,0,
കാലാവസ്ഥ മാന്യമായി അറിയിക്കുന്നില്ല.,negative,,0,0,0,
നിങ്ങളുടെ ടിപ്സിന്റെ സഹായം കൊണ്ടാണ് ഇപ്പോൾ നല്ല ഫിറ്റ് ആകിയത്.,positive,,2,2,2,
കുറ്റാന്വേഷണ സംഘത്തിന്റെ പ്രവർത്തനം.,neutral,,1,1,1,
പാട്ട് കേൾക്കുമ്പോൾ മാനസികമാനസിക ശാന്തി അനുഭവപ്പെടുന്നു.,neutral,,1,2,1,
"അഭിനയത്തിന് കൃത്യത.,",positive,,2,2,2,
"സിനിമയുടെ തുടക്കം ക്ഷീണമാണ്.,",negative,,0,0,0,
പ്രേക്ഷകർക്കു ശ്രുതിമധുരമായ പാട്ടുകൾ.,positive,,2,2,0,
നല്ല coaching team.,positive,,2,2,2,
കാലാവസ്ഥ ജന അറിവ്,negative,,0,1,0,
കാലാവസ്ഥ നിയമനിർമ്മാണം,neutral,,1,1,0,
ഹോട്ട്‌സ്‌പോട്ടുകൾ കൂടുതൽ സൗകര്യമില്ല,negative,,0,0,1,
പരിസ്ഥിതി സംരക്ഷണം പ്രധാന്യമില്ലെന്ന് തോന്നുന്നു,negative,,0,0,1,
"സംഭാഷണം സ്വാഭാവികമല്ല.,",negative,,0,0,1,
ഈ രീതിയില്‍ കൂടുതൽ വീഡിയോ ഉണ്ടാകണം.,neutral,,1,2,2,
"സുന്ദരമായ പശ്ചാത്തലം.,",positive,,2,2,2,
ദക്ഷിണേന്ത്യയിലെ വിദ്യാർത്ഥികൾക്ക് വളരെ സഹായം ചെയ്യും.,positive,,2,2,2,
മഴ പെയ്യാനിരിക്കെന്ന് പറയുമ്പോൾ പെയ്യാറില്ല.,negative,,0,0,0,
പാട്ടിന്റെ സ്വഭാവം മിതമാണ്.,neutral,,1,1,1,
ഒരു നല്ല വ്യാഖ്യാനം,positive,,2,2,2,
ടൂറിസം മന്ത്രാലയം പ്രവർത്തനക്ഷമമല്ല,negative,,0,0,0,
"വീഡിയോ കാണിച്ച്‌ നന്ദി, ഞാൻ ഇത് ചെയ്തുചോദിക്കും.",positive,,2,2,2,
മനസ്സില്‍ നിന്ന് വരുന്ന സത്യം പറയുന്ന വീഡിയോ.,positive,,2,2,2,
"പാട്ടിനൊപ്പം ഊർജ്ജസ്വലമായ നൃത്തം.,",positive,,2,2,2,
അനേകം സന്ദേശങ്ങൾക്കായി നന്ദി.,positive,,2,2,0,
അമിത ചിന്തകൾ മനസ്സിനെ ബാധിക്കുന്നു.,negative,,0,0,0,
പാടലിന്റെ സൗന്ദര്യം മനസ്സിൽ സമ്പൂർണ്ണമായി.,positive,,2,2,2,
കാലാവസ്ഥ നിലവാരം വിലയിരുത്തൽ,neutral,,0,1,1,
സഞ്ചാരികൾക്ക് കൂടുതൽ സൗകര്യങ്ങൾ നൽകേണ്ടത് വ്യവസായം അഭ്യർത്ഥിക്കുന്നു,neutral,,0,1,1,
നാട്ടിൻപുറ ഗ്രാമങ്ങളുടെ വ്യത്യാസങ്ങൾ മനസ്സിലാക്കി.,positive,,2,1,2,
പ്രവചനത്തിൽ ആശയവിനിമയം,positive,,2,1,2,
പാട്ടിന്റെ അവതരണം ആകർഷകമാക്കാവുന്നതാണ്.,neutral,,0,0,1,
"""പ്രധാനപ്പെട്ട മാർക്കറ്റ് ട്രെൻഡുകൾ അറിഞ്ഞിരിക്കുക.""",neutral,,1,1,2,
പുതിയ വിവരങ്ങൾ നന്നായി ഉൾപ്പെടുത്തിയിട്ടുണ്ട്.,positive,,2,2,2,
പാട്ട് കേൾക്കുമ്പോൾ പ്രശാന്തിയും സമാധാനവും.,positive,,2,2,0,
